id_route,type_route,distance,id_noeud1,id_noeud2
19173,b'D\xe9partementale',14.4,16003,16186
19174,b'D\xe9partementale',11.2,16003,16492
19175,b'D\xe9partementale',5.2,16004,16150
19178,b'D\xe9partementale',2.4000000000000004,16007,16052
19179,b'D\xe9partementale',4.5,16007,16191
19186,Nationale,5.5,16015,16063
19187,b'D\xe9partementale',7.1,16015,16292
19194,b'D\xe9partementale',2.1,16022,16031
19195,b'D\xe9partementale',3.2,16022,16132
19197,b'D\xe9partementale',17.1,16024,16589
19198,b'D\xe9partementale',7.2,16024,16344
19199,b'D\xe9partementale',18.099999999999998,16025,16231
19200,b'D\xe9partementale',9.2,16025,16181
19203,b'D\xe9partementale',2.7,16028,16049
19204,b'D\xe9partementale',2.4,16028,16114
19205,b'D\xe9partementale',1.3,16029,16049
19206,b'D\xe9partementale',3.0,16029,16134
19208,Nationale,2.5,16031,16133
19209,Sans objet,1.2,16031,16053
19210,b'D\xe9partementale',5.0,16032,16146
19212,b'D\xe9partementale',11.3,16118,16045
19214,Nationale,4.7,16035,16080
19215,b'D\xe9partementale',0.8,16035,16058
19217,b'D\xe9partementale',8.4,16037,16217
19218,b'D\xe9partementale',8.9,16037,16315
19220,b'D\xe9partementale',4.6,16052,16045
19224,b'D\xe9partementale',2.8,16042,16091
19225,b'D\xe9partementale',16.6,16042,16374
19231,Nationale,4.6,16049,16245
19234,b'D\xe9partementale',6.0,16052,16253
19235,Autoroute,13.3,16053,16466
19236,b'D\xe9partementale',0.9,16054,16066
19237,b'D\xe9partementale',17.5,16054,16103
19241,b'D\xe9partementale',3.5,16058,16091
19242,b'D\xe9partementale',4.7,16058,16179
19247,Nationale,4.1,16063,16118
19248,b'D\xe9partementale',2.4,16063,16122
19251,b'D\xe9partementale',20.1,16066,16098
19252,Nationale,1.8,16066,16149
19253,b'D\xe9partementale',15.499999999999998,16067,16649
19254,b'D\xe9partementale',21.5,16068,16274
19259,Nationale,8.8,16079,16263
19265,Nationale,0.2,16079,16080
19266,b'D\xe9partementale',6.6000000000000005,16079,16354
19267,Autoroute,6.8999999999999995,16080,16390
19277,b'D\xe9partementale',2.9,16091,16179
19278,b'D\xe9partementale',0.4,16092,16104
19283,b'D\xe9partementale',10.7,16097,16488
