id_noeud,lat,lon,id_station,lat_station,lon_station,distance_station,type_station,number_route,path1,path2
20043,391599.0,6628354.0,0,0,0,0,,3,24023,24083
20045,637185.0,6628296.0,0,0,0,0,,3,24081,24090
20046,361288.0,6628283.0,0,0,0,0,,3,24091,24097
20047,389366.0,6628277.0,0,0,0,0,,4,24031,24057
20048,361382.0,6628242.0,0,0,0,0,,3,24092,24097
20049,361118.0,6628239.0,0,0,0,0,,3,24074,24098
20050,362996.0,6628214.0,0,0,0,0,,3,24059,24088
20051,636903.0,6628074.0,0,0,0,0,,3,24096,24104
20052,543792.0,6628062.0,0,0,0,0,,3,23772,24070
20056,358757.0,6628021.0,0,0,0,0,,3,24018,24110
20058,360326.0,6628001.0,0,0,0,0,,4,24038,24102
20059,367104.0,6627940.0,0,0,0,0,,4,23466,24060
20062,361943.0,6627748.0,0,0,0,0,,3,24089,24119
20063,361523.0,6627736.0,0,0,0,0,,3,24101,24119
20066,368172.0,6627647.0,0,0,0,0,,3,24115,24124
20069,358961.0,6627614.0,0,0,0,0,,3,24110,24113
20070,610945.0,6627593.0,0,0,0,0,,3,23907,24129
20075,362833.0,6627246.0,0,0,0,0,,3,24103,24124
20076,362098.0,6627222.0,0,0,0,0,,3,24120,24135
20078,648650.0,6627021.0,0,0,0,0,,4,23808,24082
20081,611503.0,6626882.0,0,0,0,0,,3,24129,24142
20091,390400.0,6626420.0,0,0,0,0,,3,24084,24099
20092,894830.0,6626395.0,0,0,0,0,,3,23946,24154
20093,355120.0,6626385.0,0,0,0,0,,4,24111,24128
20095,621015.0,6626198.0,0,0,0,0,,3,23814,24142
20097,675241.0,6626123.0,0,0,0,0,,4,23802,24133
20098,621024.0,6626098.0,0,0,0,0,,3,24104,24159
20100,361085.0,6626036.0,0,0,0,0,,3,24121,24165
20101,866694.0,6626026.0,0,0,0,0,,3,23877,24054
20102,360994.0,6625992.0,0,0,0,0,,3,24114,24165
20104,354587.0,6625829.0,0,0,0,0,,3,24156,24170
20108,362516.0,6625744.0,0,0,0,0,,3,24136,24166
20112,661588.0,6625618.0,0,0,0,0,,3,23980,24180
20117,695320.0,6625544.0,0,0,0,0,,3,24046,24132
